source,author,title,description,publish_date
Hackaday,Maya Posch,All You Need for Artificial Intelligence is a Commodore 64,"Artificial intelligence has always been around us, with [Timothy J. O’Malley]’s 1985 book on AI projects for the Commodore 64 being one example of this. With AI defined as being …read more",2024-11-03 21:00:44
Gizmodo.com,Matt Novak,Feds Say Evolv Is Over-Hyping AI Tech in Gun Detectors,"“If you make those claims without adequate support, you can expect to hear from the FTC.”",2024-11-26 18:40:27
Business Insider,Alex Bitter,Watch the AI robots that Jeff Bezos just invested in fold laundry and put eggs in a carton,Jeff Bezos just invested in an artificial intelligence startup creating digital brains for robots. The robots performed a variety of tasks in videos.,2024-11-04 17:14:56
Business Insider,Lakshmi Varanasi,"Here's how far we are from AGI, according to the people developing it",Artificial general intelligence is a theoretical form of AI that can reason as well as humans. AI researchers debate how close it is to reality.,2024-11-09 11:13:02
Time,Andrew D. Johnson and Shyla Raghav,"Watch: The Good, the Bad, and the Maybe: Artificial Intelligence",TIME Chief Climate Officer Shyla Raghav explores artificial intelligence and how it impacts energy use.,2024-11-12 15:43:50
Fox News,"Bret Baier, Amy Munneke",Artificial intelligence changes across the US,"As more companies implement artificial intelligence for daily tasks, some industry leaders are working to push back against certain aspects of the technology.",2024-11-30 00:21:28
Wired,Aarian Marshall,Emergency Vehicle Lights Can Screw Up a Car's Automated Driving System,"Newly published research finds that the flashing lights on police cruisers and ambulances can cause “digital epileptic seizures” in image-based automated driving systems, potentially risking wrecks.",2024-11-26 12:00:00
NPR,Bobby Allyn,"Traffic on Bluesky, an X competitor, is up 500% since the election. How will they handle the surge?","Unlike other social media sites, Bluesky allows users to create their own algorithm. The site does not have ads, nor harvest data for artificial intelligence training. But it is still very small and has an unproven business record.",2024-11-19 22:13:38
NPR,Michel Martin,Former Google CEO Eric Schmidt discusses the DOJ move to have Google sell off Chrome,"Michel Martin asks former Google CEO Eric Schmidt about the government's move to separate Google from its Chrome browser and the future of artificial intelligence as envisioned in the book ""Genesis.""",2024-11-22 09:16:07
Arxiv.org,,Artificial Intelligence for Quantum Computing,"Artificial intelligence (AI) advancements over the past few years have had an unprecedented and revolutionary impact across everyday application areas. Its significance also extends to technical challenges within science and engineering, including the nascent…",2024-11-16 11:44:27
Ted.com,"Bob Mankoff, contact@ted.com (TED)",Can AI master the art of humor? | Bob Mankoff,"Can artificial intelligence be funny, or is comedy a uniquely human trait? In this witty and insightful talk, cartoonist Bob Mankoff explores the art of humor, the evolution of AI and what happens when the two collide.",2024-11-25 15:54:20
Gizmodo.com,Sylvia Lu,How the Law Can Tame Artificial Intelligence,AI harm is often behind the scenes and builds over time,2024-11-29 13:00:15
Nationalacademies.org,,Artificial Intelligence and the Future of Work,Artificial Intelligence and the Future of Work,2024-11-26 19:31:24
Fox News,"Bret Baier, Amy Munneke",US agriculture industry tests artificial intelligence: 'A lot of potential',"While fewer than 30% of farmers reportedly use emerging technologies like artificial intelligence, experts believe AI could help producers and farmers make food quicker and more efficiently.",2024-11-29 00:25:08
Yahoo Entertainment,South China Morning Post,"China's Huawei pushes network gear upgrades in friendly nations, touting AI boost",Huawei Technologies is urging telecommunications-network operators in overseas markets to upgrade their infrastructure to prepare for a boom in artificial...,2024-11-05 09:30:00
Yahoo Entertainment,Stephen Nellis,"Nvidia shows AI model that can modify voices, generate novel sounds",Nvidia on Monday showed a new artificial intelligence model for generating music and audio that can modify voices and generate novel sounds - technology...,2024-11-25 14:01:31
Gizmodo.com,James Whitbrook,"35 Years Ago Today, Great Britain Put Its Best Man on the Moon","Although most people wouldn't see it for another year, 35 years ago today A Grand Day Out cemented a British institute in the world of science fiction.",2024-11-05 00:43:37
Gizmodo.com,Todd Feathers,Palantir Adds an AI Company to Its Arsenal for Military and Spy Work,Palantir and Anthropic have signed a deal to bring Claude to the Pentagon.,2024-11-07 16:20:30
Gizmodo.com,Todd Feathers,Stanford Professor Accused of Using AI to Write Expert Testimony Criticizing Deepfakes,Plaintiffs in a lawsuit challenging Minnesota's law criminalizing election deepfakes say an expert brought in by the state likely wrote his opinion with the help of AI.,2024-11-21 21:40:15
Gizmodo.com,Matthew Gault,"Neom, Saudi Arabia’s Futuristic City, Suddenly Loses Its CEO","Pitched as a mix of ‘Blade Runner’ and ‘Jurassic Park,’ Neom is the world’s biggest construction project. Twenty-one thousand people have died so far to make it happen.",2024-11-12 19:30:38
Gizmodo.com,Gizmodo Deals,"The MSI RTX 4070 Ti Is at a Record Low Price, #1 Best-Selling Graphics Card on Amazon",This MSI RTX 4070 Ti with an Nvidia chip is the best-selling graphics card on Amazon this Black Friday.,2024-11-25 14:30:21
Fox News,"Kurt Knutsson, CyberGuy Report",Must-do privacy settings on your iPhone in iOS 18.1,"Apple's latest iOS update introduces advanced artificial intelligence capabilities, which may be capturing and analyzing sensitive information.",2024-11-20 11:00:20
Fox News,"Kurt Knutsson, CyberGuy Report",AI-powered dog robot sniffs out invasive fire ants,"Fueled by artificial intelligence, CyberDog the robotic dog is designed specifically locate fire ant nests, which are endangering ecosystems.",2024-11-21 11:00:40
Scientific American,Asher Radziner,Should Offshore Oil Rigs Be Turned into Artificial Reefs?,"Oil rigs around the world are habitats for marine species. When they stop producing oil, should they be removed or allowed to stay?",2024-11-19 14:00:00
NPR,Alina Hartounian,"O Christmas tree, O Christmas tree, which is more sustainable: real or plasticky?",It's time to discuss one of the perennial debates of the holiday season. Are real Christmas trees or their fake counterparts more eco-friendly?,2024-11-29 11:00:00
Fox News,"Kurt Knutsson, CyberGuy Report","Inside Apple Mac week: New power, smarter AI, bold innovations","Apple recently announced its new lineup of Macs and rolled out Apple Intelligence, its latest artificial intelligence-powered feature for its products.",2024-11-03 15:00:03
Fox News,"Kurt Knutsson, CyberGuy Report",No tennis partner? No worries with this AI robot,"PongBot is an artificial intelligence-powered tennis robot and a smart training partner available to play 24 hours a day, seven days a week.",2024-12-01 11:00:24
BBC News,,Indian experts hail breakthrough in bid to save native bird,The birth of a great Indian bustard chick through artificial insemination has given hope to conservationists.,2024-11-08 00:01:59
Huggingface.co,,A CC-By Open-Source TTS Model with Voice Cloning,We’re on a journey to advance and democratize artificial intelligence through open source and open science.,2024-11-04 17:36:17
Gizmodo.com,Lucas Ropek,"AI Chatbot Joins Mushroom Hunters Group, Immediately Encourages Them to Cook Dangerous Mushroom",We have yet another example of artificial intelligence having no idea what it's talking about.,2024-11-13 14:50:42
Blog.google,Google,5 ways to explore chess during the 2024 World Chess Championship,Illustration of colorful red and blue chess pieces and sparkles against a yellow checkered board.,2024-11-25 02:05:16
Science Daily,,New method for designing artificial proteins,"Protein design aims to create customized antibodies for therapies, biosensors for diagnostics, or enzymes for chemical reactions. An international research team has now developed a method for designing large new proteins better than before and producing them …",2024-11-21 16:56:40
Slashdot.org,EditorDavid,"Salesforce to Hire 1,000 People for Big AI Product Sales Push","Salesforce ""plans to hire more than 1,000 workers to sell its new generative AI agent product,"" reports Bloomberg:

The hiring surge is aimed at capitalizing on ""amazing momentum"" for the new artificial intelligence product, Chief Executive Marc Benioff said …",2024-11-10 18:35:00
Harvard Business Review,"Ajay Agrawal, Joshua Gans, Avi Goldfarb",Generative AI Is Still Just a Prediction Machine,"If you fail to understand the fundamental nature of these tools, you’ll inevitably use them incorrectly.",2024-11-18 14:00:00
Harvard Business Review,"Graham Kenny, Roger Moser",How 3 Companies Are Using AI to Mimic Expert Judgement,Advanced AI can learn how seasoned experts make decisions and perform tasks that used to require specialized knowledge.,2024-11-15 14:00:00
BBC News,,Olympian Laura Kenny to guest edit Radio 4's Today,Sir Sajid Javid and Baronness Floella Benjamin will also take the editorial reins over Christmas.,2024-11-25 02:02:30
Thenewstack.io,David Eastman,Why LLMs Within Software Development May Be a Dead End,How should software development respond to how LLMs operate? We need truly explainable Artificial Intelligence with testable components.,2024-11-18 00:41:44
Gizmodo.com,Passant Rabie,Upcoming Proba-3 Mission Will Create Artificial Solar Eclipses to Study the Sun,The Sun-observing mission is set for launch on Wednesday at 5:38 a.m. ET.,2024-12-02 20:40:13
CNET,Barbara Pazur,What Is Generative AI? Everything to Know About the Tech Behind ChatGPT and Gemini,"There hasn't been a tech advancement that's caused such a boom since the internet and, later, the iPhone.",2024-11-26 13:00:07
Business Insider,"Lakshmi Varanasi,Lloyd Lee",AI leaders are starting to rethink the best way to advance AI,AI leaders are rethinking the conventional wisdom about how to train large language models.,2024-11-24 15:39:48
Gizmodo.com,Matthew Gault,Elon Musk Expands His Grudge Against OpenAI to Include Microsoft,The new lawsuit includes a detailed list of the ways OpenAI CEO Sam Altman manipulated the world's richest man.,2024-11-15 16:00:53
Gizmodo.com,Gizmodo Deals,"Apple Lost Its Mind, Prices For The 2024 MacBook Air Have Crashed For Cyber Monday",This is your last chance this year to grab a 2024 MacBook Air at such a great price.,2024-12-02 15:44:33
Gizmodo.com,Matt Novak,TikTok Announces Plan to Block Some Beauty Filters for Minors,"""By fostering a culture of authenticity, respect and support, we can create a digital world where everyone feels empowered to be their true self,"" the company said.",2024-11-27 20:10:54
Science Daily,,Hydrogels harness sunlight: A step closer to artificial photosynthesis,"Researchers designed bioinspired hydrogels capable of using sunlight to produce hydrogen and oxygen from water. Hydrogels contain polymer networks that facilitate energy conversion, offering a breakthrough approach to generating renewable hydrogen energy. Thi…",2024-11-06 18:26:51
