source,author,title,description,publish_date
Gizmodo.com,Isaac Schultz,What to Know About Google’s Breakthrough Weather Prediction Model,The latest forecast tool out of DeepMind shows how artificial intelligence could revolutionize the way we predict the weather.,2024-12-06 16:45:19
Gizmodo.com,Lucas Ropek,OpenAI Continues Its Mission of ‘Ethical’ AI by Partnering With a Killer Robot Company,"It's a weird look for a company that has claimed that it wants to make AI ""safe for everyone.""",2024-12-05 13:35:26
Business Insider,Lakshmi Varanasi,Most people probably won't notice when artificial general intelligence arrives,"AGI could even already be here, some AI experts say.",2024-12-07 22:26:34
Gizmodo.com,Matt Novak,Feds Say Evolv Is Over-Hyping AI Tech in Gun Detectors,"“If you make those claims without adequate support, you can expect to hear from the FTC.”",2024-11-26 18:40:27
Business Insider,Lakshmi Varanasi,"Here's how far we are from AGI, according to the people developing it",Artificial general intelligence is a theoretical form of AI that can reason as well as humans. AI researchers debate how close it is to reality.,2024-11-09 11:13:02
Time,Andrew D. Johnson and Shyla Raghav,"Watch: The Good, the Bad, and the Maybe: Artificial Intelligence",TIME Chief Climate Officer Shyla Raghav explores artificial intelligence and how it impacts energy use.,2024-11-12 15:43:50
Fox News,"Bret Baier, Amy Munneke",Artificial intelligence changes across the US,"As more companies implement artificial intelligence for daily tasks, some industry leaders are working to push back against certain aspects of the technology.",2024-11-30 00:21:28
Wired,Aarian Marshall,Emergency Vehicle Lights Can Screw Up a Car's Automated Driving System,"Newly published research finds that the flashing lights on police cruisers and ambulances can cause “digital epileptic seizures” in image-based automated driving systems, potentially risking wrecks.",2024-11-26 12:00:00
NPR,Bobby Allyn,"Traffic on Bluesky, an X competitor, is up 500% since the election. How will they handle the surge?","Unlike other social media sites, Bluesky allows users to create their own algorithm. The site does not have ads, nor harvest data for artificial intelligence training. But it is still very small and has an unproven business record.",2024-11-19 22:13:38
NPR,Michel Martin,Former Google CEO Eric Schmidt discusses the DOJ move to have Google sell off Chrome,"Michel Martin asks former Google CEO Eric Schmidt about the government's move to separate Google from its Chrome browser and the future of artificial intelligence as envisioned in the book ""Genesis.""",2024-11-22 09:16:07
Arxiv.org,,Artificial Intelligence for Quantum Computing,"Artificial intelligence (AI) advancements over the past few years have had an unprecedented and revolutionary impact across everyday application areas. Its significance also extends to technical challenges within science and engineering, including the nascent…",2024-11-16 11:44:27
Ted.com,"Bob Mankoff, contact@ted.com (TED)",Can AI master the art of humor? | Bob Mankoff,"Can artificial intelligence be funny, or is comedy a uniquely human trait? In this witty and insightful talk, cartoonist Bob Mankoff explores the art of humor, the evolution of AI and what happens when the two collide.",2024-11-25 15:54:20
Hackaday,Heidi Ulrich,Gray Matter on a Chip: Building an Artificial Brain with Luminol,"Ever wondered if you could build a robot controlled by chemical reactions? [Marb] explores this wild concept in his video, merging chemistry and robotics in a way that feels straight out of sci-fi.…",2024-12-06 00:00:10
Wired,Elana Klein,Spotify Wrapped Now Includes an AI-Generated Podcast Analyzing Your Listening Habits,"Want to hear two robots chat about your music taste? This Wrapped season, Spotify and Google teamed up to make that dream (or nightmare) a reality.",2024-12-04 13:00:00
Gizmodo.com,Sylvia Lu,How the Law Can Tame Artificial Intelligence,AI harm is often behind the scenes and builds over time,2024-11-29 13:00:15
Nationalacademies.org,,Artificial Intelligence and the Future of Work,Artificial Intelligence and the Future of Work,2024-11-26 19:31:24
Fox News,"Bret Baier, Amy Munneke",US agriculture industry tests artificial intelligence: 'A lot of potential',"While fewer than 30% of farmers reportedly use emerging technologies like artificial intelligence, experts believe AI could help producers and farmers make food quicker and more efficiently.",2024-11-29 00:25:08
Time,Alana Semuels,How Automation Is Helping Companies Prepare for Labor Shortages,"Leaders in the field discussed innovations in artificial intelligence, automation, and infrastructure at a TIME100 talk on Dec. 3.",2024-12-03 18:36:11
Yahoo Entertainment,Stephen Nellis,"Nvidia shows AI model that can modify voices, generate novel sounds",Nvidia on Monday showed a new artificial intelligence model for generating music and audio that can modify voices and generate novel sounds - technology...,2024-11-25 14:01:31
Yahoo Entertainment,AFP,India launches European 'artifical eclipse' satellites,India on Thursday successfully launched into space a pair of European satellites that will create artificial solar eclipses to help scientists catch a rare...,2024-12-05 11:43:15
Wired,"Reece Rogers, Louise Matsakis",OpenAI Poaches 3 Top Engineers From DeepMind,"The new hires, all experts in computer vision, are the latest AI researchers to jump to a direct competitor in an intensively competitive talent market.",2024-12-04 01:33:56
The Verge,Alex Heath,Why investors don’t mind that AI is a money pit,"AI is costing a fortune to build, and it’s not yet paying off. Here’s why investors aren’t concerned.",2024-12-05 15:00:00
Gizmodo.com,Todd Feathers,Stanford Professor Accused of Using AI to Write Expert Testimony Criticizing Deepfakes,Plaintiffs in a lawsuit challenging Minnesota's law criminalizing election deepfakes say an expert brought in by the state likely wrote his opinion with the help of AI.,2024-11-21 21:40:15
Gizmodo.com,Matthew Gault,"Neom, Saudi Arabia’s Futuristic City, Suddenly Loses Its CEO","Pitched as a mix of ‘Blade Runner’ and ‘Jurassic Park,’ Neom is the world’s biggest construction project. Twenty-one thousand people have died so far to make it happen.",2024-11-12 19:30:38
Gizmodo.com,Gizmodo Deals,"The MSI RTX 4070 Ti Is at a Record Low Price, #1 Best-Selling Graphics Card on Amazon",This MSI RTX 4070 Ti with an Nvidia chip is the best-selling graphics card on Amazon this Black Friday.,2024-11-25 14:30:21
Fox News,"Kurt Knutsson, CyberGuy Report",Must-do privacy settings on your iPhone in iOS 18.1,"Apple's latest iOS update introduces advanced artificial intelligence capabilities, which may be capturing and analyzing sensitive information.",2024-11-20 11:00:20
Fox News,"Kurt Knutsson, CyberGuy Report",Robotic shorts give your legs a boost to walk farther and tire less,"Tech expert Kurt “CyberGuy"" Knutsson reveals how WalkON enhances walking and jogging with sensors and artificial tendons.",2024-12-03 11:00:51
Fox News,"Kurt Knutsson, CyberGuy Report",AI-powered dog robot sniffs out invasive fire ants,"Fueled by artificial intelligence, CyberDog the robotic dog is designed specifically locate fire ant nests, which are endangering ecosystems.",2024-11-21 11:00:40
NPR,Alina Hartounian,"O Christmas tree, O Christmas tree, which is more sustainable: real or plasticky?",It's time to discuss one of the perennial debates of the holiday season. Are real Christmas trees or their fake counterparts more eco-friendly?,2024-11-29 11:00:00
Scientific American,Asher Radziner,Should Offshore Oil Rigs Be Turned into Artificial Reefs?,"Oil rigs around the world are habitats for marine species. When they stop producing oil, should they be removed or allowed to stay?",2024-11-19 14:00:00
BBC News,,Indian experts hail breakthrough in bid to save native bird,The birth of a great Indian bustard chick through artificial insemination has given hope to conservationists.,2024-11-08 00:01:59
Fox News,"Kurt Knutsson, CyberGuy Report",No tennis partner? No worries with this AI robot,"PongBot is an artificial intelligence-powered tennis robot and a smart training partner available to play 24 hours a day, seven days a week.",2024-12-01 11:00:24
Gizmodo.com,Lucas Ropek,"AI Chatbot Joins Mushroom Hunters Group, Immediately Encourages Them to Cook Dangerous Mushroom",We have yet another example of artificial intelligence having no idea what it's talking about.,2024-11-13 14:50:42
Blog.google,Google,5 ways to explore chess during the 2024 World Chess Championship,Illustration of colorful red and blue chess pieces and sparkles against a yellow checkered board.,2024-11-25 02:05:16
Science Daily,,New method for designing artificial proteins,"Protein design aims to create customized antibodies for therapies, biosensors for diagnostics, or enzymes for chemical reactions. An international research team has now developed a method for designing large new proteins better than before and producing them …",2024-11-21 16:56:40
Huggingface.co,,Llama-3.3-70B-Instruct,We’re on a journey to advance and democratize artificial intelligence through open source and open science.,2024-12-06 16:44:56
Slashdot.org,EditorDavid,"Salesforce to Hire 1,000 People for Big AI Product Sales Push","Salesforce ""plans to hire more than 1,000 workers to sell its new generative AI agent product,"" reports Bloomberg:

The hiring surge is aimed at capitalizing on ""amazing momentum"" for the new artificial intelligence product, Chief Executive Marc Benioff said …",2024-11-10 18:35:00
Harvard Business Review,"Ajay Agrawal, Joshua Gans, Avi Goldfarb",Generative AI Is Still Just a Prediction Machine,"If you fail to understand the fundamental nature of these tools, you’ll inevitably use them incorrectly.",2024-11-18 14:00:00
Harvard Business Review,"Graham Kenny, Roger Moser",How 3 Companies Are Using AI to Mimic Expert Judgement,Advanced AI can learn how seasoned experts make decisions and perform tasks that used to require specialized knowledge.,2024-11-15 14:00:00
Thenewstack.io,David Eastman,Why LLMs Within Software Development May Be a Dead End,How should software development respond to how LLMs operate? We need truly explainable Artificial Intelligence with testable components.,2024-11-18 00:41:44
BBC News,,Olympian Laura Kenny to guest edit Radio 4's Today,Sir Sajid Javid and Baronness Floella Benjamin will also take the editorial reins over Christmas.,2024-11-25 02:02:30
Gizmodo.com,Passant Rabie,Upcoming Proba-3 Mission Will Create Artificial Solar Eclipses to Study the Sun,The Sun-observing mission is set for launch on Wednesday at 5:38 a.m. ET.,2024-12-02 20:40:13
MacRumors,Juli Clover,Apple Uses Amazon's Custom AI Chips for Search Services,"Apple uses custom Trainium and Graviton artificial intelligence chips from Amazon Web Services for search services, Apple machine learning and AI director Benoit Dupin said today at the AWS re:Invent conference (via CNBC).





Dupin said that Amazon's AI chi…",2024-12-03 19:41:18
Digital Trends,Georgina Torbet,This pair of satellites is going to create an artificial solar eclipse,A pair of spacecraft are launching on a mission to observe the sun's corona by one casting a precise shadow from which the other can observe.,2024-12-04 02:29:38
CNET,Barbara Pazur,What Is Generative AI? Everything to Know About the Tech Behind ChatGPT and Gemini,"There hasn't been a tech advancement that's caused such a boom since the internet and, later, the iPhone.",2024-11-26 13:00:07
Fox News,"Kurt Knutsson, CyberGuy Report",Get ready to build your own Lego masterpieces with this new tech,Brick My World is an innovative app that allows you to turn any object into a Lego creation with your phone using advanced artificial intelligence and mobile scanning technology.,2024-12-06 11:00:59
Business Insider,"Lakshmi Varanasi,Lloyd Lee",AI leaders are starting to rethink the best way to advance AI,AI leaders are rethinking the conventional wisdom about how to train large language models.,2024-11-24 15:39:48
Gizmodo.com,Matthew Gault,Elon Musk Expands His Grudge Against OpenAI to Include Microsoft,The new lawsuit includes a detailed list of the ways OpenAI CEO Sam Altman manipulated the world's richest man.,2024-11-15 16:00:53
Gizmodo.com,Gizmodo Deals,"Apple Lost Its Mind, Prices For The 2024 MacBook Air Have Crashed For Cyber Monday",This is your last chance this year to grab a 2024 MacBook Air at such a great price.,2024-12-02 15:44:33
Gizmodo.com,Matt Novak,TikTok Announces Plan to Block Some Beauty Filters for Minors,"""By fostering a culture of authenticity, respect and support, we can create a digital world where everyone feels empowered to be their true self,"" the company said.",2024-11-27 20:10:54
Gizmodo.com,Margherita Bassi,"AI Is Detecting More Breast Cancer Cases, Study Suggests","In a study, women who chose AI-powered mammograms were 21% more likely to have cancer detected than those who didn’t.",2024-12-05 22:00:04
Slashdot.org,EditorDavid,Elon Musk's xAI Plans Massive Expansion of AI Supercomputer in Memphis,"An anonymous reader shared this report from Reuters:
Elon Musk's artificial intelligence startup xAI plans to expand its Memphis, Tennessee, supercomputer to house at least one million graphics processing units (GPUs), the Greater Memphis Chamber said on Wedn…",2024-12-05 12:34:00
Utexas.edu,Adrienne Lee,Researchers Use AI to Turn Sound Recordings into Accurate Street Images,"AUSTIN, Texas — Using generative artificial intelligence, a team of researchers at The University of Texas at Austin has converted sounds from audio",2024-12-01 16:40:26
Slashdot.org,msmash,Amazon AI Data Centers To Double as Carbon Capture Machines,"Amazon's data centers could soon double as carbon capture machines, offsetting the harmful effects of the massive amounts of energy required to run them. From a report: Amazon Web Services is partnering with startup Orbital Materials, which used artificial in…",2024-12-03 18:31:00
Slashdot.org,msmash,OpenAI Considers Taking on Google With Browser,"An anonymous reader shares a report: OpenAI is preparing to launch a frontal assault on Google. The ChatGPT owner recently considered developing a web browser that it would combine with its chatbot, and it has separately discussed or struck deals to power sea…",2024-11-22 15:23:00
Business Insider,Sarah Jackson,"OpenAI wants to remove a clause about AGI from its Microsoft contract to encourage additional investments, report says","The clause is meant to prevent misuse of AGI for commercial purposes; nixing it could encourage Microsoft to invest more in OpenAI, the FT reports.",2024-12-06 18:46:24
